都道府県名,地方公共団体コード,施設コード,地方公共団体名,施設名称,年間処理量_t/年度,資源化量_資源化物回収_t/年度,資源化量_発生ガス回収_m3/年度,資源化量_生産量・搬出量の別,処理対象廃棄物_可燃ごみ,処理対象廃棄物_混合（未分別）ごみ,処理対象廃棄物_粗大ごみ,処理対象廃棄物_固形化燃料,処理対象廃棄物_その他,処理対象廃棄物_不燃ごみ,処理対象廃棄物_資源ごみ,処理対象廃棄物_ごみ処理残渣,処理対象廃棄物_し尿処理残渣,処理対象廃棄物_その他（具体的）,施設の種類,施設の種類_その他（具体的）,処理方式,炉型式,ごみ処理事業実施方式,施設全体の処理能力_t/日,炉数,使用開始年度,余熱利用の状況_場内温水,余熱利用の状況_場内蒸気,余熱利用の状況_発電（場内利用）,余熱利用の状況_場外温水,余熱利用の状況_場外蒸気,余熱利用の状況_発電（場外利用）,余熱利用の状況_その他,余熱利用の状況_無し,余熱利用量（仕様値・公称値）_余熱利用量_MJ,余熱利用量（仕様値・公称値）_うち外部熱供給量_MJ,余熱利用量（実績値）_余熱利用量_MJ,余熱利用量（実績値）_うち外部熱供給量_MJ,発電能力_発電能力_kW,発電能力_発電効率（仕様値・公称値）_％,発電能力_総発電量（実績値）_MWh,発電能力_うち外部供給量（実績値）_MWh,余剰電力利用（売電）_売電量_MWh/年,余剰電力利用（売電）_売電収入_円/年,余剰電力利用（売電）_売電価格(単価)_固定価格_円/kWh,余剰電力利用（売電）_売電価格(単価)_重負荷_円/kWh,余剰電力利用（売電）_売電価格(単価)_昼間_円/kWh,余剰電力利用（売電）_売電価格(単価)_夜間_円/kWh,契約電力会社名_（受電）,契約電力会社名_（売電）,売電において活用している制度_ＦＩＴ,売電において活用している制度_ＲＰＳ,売電において活用している制度_その他,売電において活用している制度_その他_具体的な制度名,売電の配分割合の方法_経費に充当,売電の配分割合の方法_経費に充当_充当後の分担金の計算方法,売電の配分割合の方法_経費に充当_充当後の分担金の計算方法_その他の計算方法,売電の配分割合の方法_基金に積立,売電の配分割合の方法_基金に積立_活用内容,売電の配分割合の方法_基金に積立_活用内容_その他の活用内容,売電の配分割合の方法_その他,売電の配分割合の方法_その他_具体的な方法,灰処理設備の有無_（焼却灰）_セメント固化,灰処理設備の有無_（焼却灰）_薬剤処理,灰処理設備の有無_（焼却灰）_溶融処理,灰処理設備の有無_（焼却灰）_その他,灰処理設備の有無_（焼却灰）_無し,灰処理設備の有無_（飛灰）_セメント固化,灰処理設備の有無_（飛灰）_薬剤処理,灰処理設備の有無_（飛灰）_溶融処理,灰処理設備の有無_（飛灰）_その他,灰処理設備の有無_（飛灰）_無し,運転管理体制,施設の改廃_新設（建設中）,施設の改廃_新設（新規稼働）,施設の改廃_能力変更,施設の改廃_休止,施設の改廃_廃止,施設の改廃_移管,産業廃棄物の搬入の有無,一般廃棄物の割合_％,ごみ組成分析結果（乾ベース）_合計_％,ごみ組成分析結果（乾ベース）_紙・布類_％,ごみ組成分析結果（乾ベース）_ﾋﾞﾆｰﾙ、合成樹脂、ｺﾞﾑ、皮革類_％,ごみ組成分析結果（乾ベース）_木、竹、わら類_％,ごみ組成分析結果（乾ベース）_ちゅう芥類_％,ごみ組成分析結果（乾ベース）_不燃物類_％,ごみ組成分析結果（乾ベース）_その他_％,単位容積重量_kg/m3,三成分_合計_％,三成分_水分_％,三成分_可燃分_％,三成分_灰分_％,低位発熱量_(計算値)_kJ/kg,低位発熱量_(実測値)_kJ/kg,リユース・リペアの対象品目_合計_重量_t/年度,リユース・リペアの対象品目_合計_個数_個・台等,リユース・リペアの対象品目_家具_対象,リユース・リペアの対象品目_家具_重量_t/年度,リユース・リペアの対象品目_家具_個数_個・台等,リユース・リペアの対象品目_自転車_対象,リユース・リペアの対象品目_自転車_重量_t/年度,リユース・リペアの対象品目_自転車_個数_個・台等,リユース・リペアの対象品目_衣類_対象,リユース・リペアの対象品目_衣類_重量_t/年度,リユース・リペアの対象品目_衣類_個数_個・台等,リユース・リペアの対象品目_書籍_対象,リユース・リペアの対象品目_書籍_重量_t/年度,リユース・リペアの対象品目_書籍_個数_個・台等,リユース・リペアの対象品目_家電_対象,リユース・リペアの対象品目_家電_重量_t/年度,リユース・リペアの対象品目_家電_個数_個・台等,リユース・リペアの対象品目_傘_対象,リユース・リペアの対象品目_傘_重量_t/年度,リユース・リペアの対象品目_傘_個数_個・台等,リユース・リペアの対象品目_食器_対象,リユース・リペアの対象品目_食器_重量_t/年度,リユース・リペアの対象品目_食器_個数_個・台等,リユース・リペアの対象品目_おもちゃ_対象,リユース・リペアの対象品目_おもちゃ_重量_t/年度,リユース・リペアの対象品目_おもちゃ_個数_個・台等,リユース・リペアの対象品目_その他_対象,リユース・リペアの対象品目_その他_重量_t/年度,リユース・リペアの対象品目_その他_個数_個・台等,リユース・リペア機能・内容_修理,リユース・リペア機能・内容_展示,リユース・リペア機能・内容_販売,リユース・リペア機能・内容_譲渡,リユース・リペア機能・内容_機能なし
北海道,01210,0110010,岩見沢市,いわみざわ環境クリーンプラザ　焼却施設,24561,0,0,,○,,,,,,,,,,焼却,,ストーカ式（可動）,全連続運転,DB+O（公設民営、長期包括運営委託）,100,2,2015,,,○,,,○,,,,,,,1200,12,8007,0,3200,49876805,,,,,北海道電力㈱,北海道電力㈱,○,,,,,,,,,,,,,,,,○,,○,,,,委託,,,,,,,無し,,100,57.6,24.8,10.7,5,1.1,0.8,111.8,100,36.2,59.8,4,10330,10613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01213,0110012,苫小牧市,苫小牧市沼ノ端クリーンセンター,48253,0,0,,○,,,,,,,,,,焼却,,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,210,2,1999,○,○,○,,,○,,,,,,,2000,6.8,12329,0,4333,66506790,,,20,20,北海道電力,ゼロワットパワー株式会社,,,,,,,,,,,,,,,,,○,,○,,,,委託,,,,,,,無し,,100,52.1,15.3,9.4,18.1,2.9,2.2,226,100,49.3,45.1,5.6,8117,8808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01217,0110013,江別市,江別市環境クリーンセンター,31846,1940,,資源化物搬出量,○,,,,,,,,,,ガス化溶融・改質,,その他,全連続運転,その他公設公営,140,2,2002,○,○,○,,,○,,,59392920,,60352805,,1980,11.36,10680,0,441,7010997,10,,,,北海道電力(株),北海道電力(株),,,○,各制度に該当しないため、電力会社と需給契約,,,,,,,,,,,○,,,○,○,○,,,委託,,,,,,,無し,,100,53.8,31.9,7.7,4.7,1.6,0.3,132,100,39.6,54.1,6.3,9200,9450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01223,0110014,根室市,根室市じん芥焼却場,11647,0,0,,○,,,,,,,○,○,,焼却,,ストーカ式（可動）,准連続運転,DB+M（公設公営、維持管理のみ委託）,100,2,1981,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,,,,委託,,,,,,,有り,85.7,100,46.7,29.5,2.2,16,0.8,4.8,147.5,100,49.8,42.2,8,0,6593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01224,0110015,千歳市,千歳市焼却処理場,26706,735,,資源化物搬出量,○,,,,,,,,,,焼却,,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,195,2,1989,○,,,,○,,,,163951317,49653536,163951317,49653536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,委託,,,,,,,有り,99,99.955,62.18,17,10.95,7.5,0.975,1.35,0,100,32.02,63.2,4.78,11100,11340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01230,0110016,登別市,クリンクルセンター,17449,,,,○,,,,,,,○,○,,焼却,,流動床式,全連続運転,DB（公設公営、運転委託）,123,2,2000,○,,,○,,,,,1579783,,,,,,,,,,,,,,北海道電力株式会社,,,,,,,,,,,,,,,○,,,,,○,,,,委託,,,,,,,有り,83,100,56.6,29.6,2.9,6,4.4,0.5,187.3,100,51.4,41.8,6.8,6583,8707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01231,0110017,恵庭市,恵庭市ごみ焼却場,0,0,0,,○,,,,○,,,,,,焼却,,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,75,1,1979,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,委託,,,,○,,,無し,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01231,0110682,恵庭市,恵庭市焼却施設,12210,0,0,,○,,○,,○,,,○,○,,焼却,,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,56,2,2020,○,○,○,,○,,,,58347240,35100240,0,0,160,2.3,921,0,,,,,,,北海道電力株式会社,なし,,,,,,,,,,,,,,,,,○,,○,,,,委託,,,,,,,有り,87,100,54.95,22.7,15.6,3.6,0.77,2.38,148,100,36.79,57.2,6.01,9853,12465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01235,0110018,石狩市,石狩市北石狩衛生センターごみ処理施設,18263,0,0,,○,,○,,,,,○,○,,焼却,,ストーカ式（可動）,全連続運転,DB+O（公設民営、長期包括運営委託）,180,2,1994,○,,,○,,,,,,,,,,,,,,,,,,,北海道電力株式会社,,,,,,,,,,,,,,,,,,○,,○,,,,委託,,,,,,,無し,,100,51.32,23.53,7.075,14.64,2.08,1.355,209.8,100,49.9,45.3,4.8,0,7285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01367,0110019,奥尻町,奥尻町環境センター焼却処理場,1027,0,0,,○,,,,,,,,,,焼却,,ストーカ式（可動）,バッチ運転,DB（公設公営、運転委託）,8,2,2002,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,一部委託,,,,,,,有り,80,100,62,22.1,2.7,11.1,0.4,1.7,130,100,44.6,51,4.4,10000,9085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01460,0110021,上富良野町,上富良野町クリーンセンター,2656,40,,資源化物搬出量,○,,,,,,,○,,,焼却,,ストーカ式（可動）,バッチ運転,DB+M（公設公営、維持管理のみ委託）,15,2,1999,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,委託,,,,,,,無し,,100,64,20.3,5.9,8.1,1,0.7,115,100,41.5,54.1,4.4,9160,11775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01472,0110022,幌加内町,幌加内町一般廃棄物焼却施設,185,0,0,,○,,○,,,,,,,,焼却,,その他,バッチ運転,DB（公設公営、直営）,1,1,2007,,,,,,,,○,,,,,,,,,,,,,,,北海道電力,,,,,,,,,,,,,,,,,,○,,,,,○,直営,,,,,,,無し,,100,52.2,31.7,7.9,7.8,0.4,0,22.2,100,9,59.3,31.7,14413,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01514,0110023,枝幸町,枝幸町水産廃棄物等処理施設,0,0,0,,,,,,○,,,,,,焼却,,流動床式,准連続運転,,20,1,1998,,,,,,,,○,,,,,,,,,,,,,,,北海道電力,,,,,,,,,,,,,,,,,,○,,,,,○,委託,,,,○,,,無し,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01517,0110674,礼文町,礼文町衛生センターごみ焼却施設,915.22,0,0,,○,,,,,,,,○,,焼却,,ストーカ式（可動）,バッチ運転,DB（公設公営、直営）,6,1,2020,○,,,,,,,,2333856,0,0,0,,,,,,,,,,,北海道電力株式会社,,,,,,,,,,,,,,,,,,○,,○,,,,直営,,,,,,,有り,99.6,100,33.91,17.6,7.94,37.34,0.64,2.57,316.18,100,54.31,38.65,7.04,5912.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01544,0110025,津別町,津別町クリーンセンター,0,0,0,,○,,,,,,,,,,焼却,,固定床式,バッチ運転,DB（公設公営、運転委託）,10,2,1992,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,委託,,,,○,,,無し,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01546,0110026,清里町,清掃センター,743,0,0,,○,,,,,○,,,,,焼却,,ストーカ式（可動）,バッチ運転,その他公設公営,10,1,1983,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,委託,,,,,,,無し,,100,57.9,12,10.4,18.8,0,0.9,72.75,100,52.15,43.325,4.525,6877.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01549,0110027,訓子府町,訓子府町一般廃棄物焼却施設,0,0,0,,○,,,,,,,,,,焼却,,固定床式,バッチ運転,,4,3,1992,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,委託,,,,,,,無し,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01561,0110030,興部町,興部町一般廃棄物焼却炉,0,0,0,,○,,,,,,,,,,焼却,,固定床式,バッチ運転,,9.6,2,1996,,,,,,,,○,,,,,,,,,,,,,,,北海道電力,,,,,,,,,,,,,,,,,,○,,,,,○,委託,,,,○,,,無し,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01563,0110031,雄武町,雄武町廃棄物焼却処理場,0,0,,資源化物生産量,○,,○,,,,,,,,焼却,,ストーカ式（可動）,バッチ運転,DB+M（公設公営、維持管理のみ委託）,10,1,1989,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,直営,,,,○,,,無し,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01564,0110032,大空町,大空町一般廃棄物焼却処理施設,750,0,0,,○,,,,,,,,,,焼却,,その他,バッチ運転,DB+M（公設公営、維持管理のみ委託）,6,1,1983,,,,,,,,○,,,,,,,,,,,,,,,北海道電力株式会社,,,,,,,,,,,,,,,○,,,,,○,,,,委託,,,,,,,無し,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01607,0110033,浦河町,浦河町クリーンプラザ,2936,0,,,○,,,,,,,○,,,焼却,,ストーカ式（可動）,バッチ運転,DB（公設公営、一部運転委託）,17,2,1999,,,,,,,,○,,,,,,,,,,,,,,,北海道電力,,,,,,,,,,,,,,,,,,○,,○,,,,委託,,,,,,,無し,,100,56.4,20.9,9.9,8.2,4.3,0.3,214,100,46.6,46.3,7.1,7556,8680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01608,0110034,様似町,様似町クリーンセンター　焼却施設,975,0,0,,○,,○,,,,,○,,,焼却,,ストーカ式（可動）,バッチ運転,その他公設公営,10,1,1997,,,,,,,,○,,,,,,,,,,,,,,,北海道電力㈱,,,,,,,,,,,,,,,,,,○,,○,,,,一部委託,,,,,,,無し,,100,49.6,31.2,1.2,16,1.4,0.6,131,100,54.8,42.1,3.1,9255,6565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01609,0110035,えりも町,えりも町清掃センター,1062,0,0,,○,,,,,,,○,,,焼却,,ストーカ式（可動）,バッチ運転,DB（公設公営、直営）,10,1,1990,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,直営,,,,,,,無し,,100,52.2,23.6,2.2,19.2,2.1,0.7,156.8,100,50.1,46.6,3.3,9695,7505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01664,0110673,標茶町,標茶町クリーンセンター,1883,0,0,,○,,○,,,,,○,,,焼却,,ストーカ式（可動）,准連続運転,DBO（公設民営）,8,1,2018,○,,,,,,○,,952214,,517804,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,,,,委託,,,,,,,有り,97,100,50.2,33.2,5.1,10.2,0.8,0.5,118.3,100,41.7,52.3,6,8800,11509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01665,0110041,弟子屈町,弟子屈町廃棄物処理施設,0,0,0,,○,,,,,,,,,,焼却,,ストーカ式（可動）,バッチ運転,その他公設公営,12,1,1997,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,直営,,,,○,,,無し,,100,55,20,1,21,2,1,199,100,51,42,7,6634,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01668,0110042,白糠町,白糠町クリーンセンター,0,0,0,,○,,,,,,,,,,焼却,,ストーカ式（可動）,バッチ運転,DB（公設公営、運転委託）,11,1,1995,,,,,,,,○,,,,,,,,,,,,,,,北海道電力株式会社,,,,,,,,,,,,,,,○,,,,,○,,,,委託,,,,,,,無し,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
