都道府県名,地方公共団体名,施設名称,年間処理量_t/年度,処理方式,炉型式,ごみ処理事業実施方式,炉数,使用開始年度,余熱利用量（仕様値・公称値）_余熱利用量_MJ,余熱利用量（仕様値・公称値）_うち外部熱供給量_MJ,余熱利用量（実績値）_余熱利用量_MJ,余熱利用量（実績値）_うち外部熱供給量_MJ,発電能力_発電能力_kW,発電能力_発電効率（仕様値・公称値）_％,発電能力_総発電量（実績値）_MWh,発電能力_うち外部供給量（実績値）_MWh,余剰電力利用（売電）_売電量_MWh/年,余剰電力利用（売電）_売電収入_円/年,余剰電力利用（売電）_売電価格(単価)_固定価格_円/kWh,余剰電力利用（売電）_売電価格(単価)_重負荷_円/kWh,余剰電力利用（売電）_売電価格(単価)_昼間_円/kWh,余剰電力利用（売電）_売電価格(単価)_夜間_円/kWh,ごみ組成分析結果（乾ベース）_合計_％,ごみ組成分析結果（乾ベース）_紙・布類_％,ごみ組成分析結果（乾ベース）_ﾋﾞﾆｰﾙ、合成樹脂、ｺﾞﾑ、皮革類_％,ごみ組成分析結果（乾ベース）_木、竹、わら類_％,ごみ組成分析結果（乾ベース）_ちゅう芥類_％,ごみ組成分析結果（乾ベース）_不燃物類_％,ごみ組成分析結果（乾ベース）_その他_％,単位容積重量_kg/m3,三成分_合計_％,三成分_水分_％,三成分_可燃分_％,三成分_灰分_％,低位発熱量_(計算値)_kJ/kg,低位発熱量_(実測値)_kJ/kg
北海道,千歳市,千歳市焼却処理場,26706,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,1989,163951317,49653536,163951317,49653536,,,,,,,,,,,99.955,62.18,17,10.95,7.5,0.975,1.35,0,100,32.02,63.2,4.78,11100,11340
北海道,登別市,クリンクルセンター,17449,流動床式,全連続運転,DB（公設公営、運転委託）,2,2000,1579783,,,,,,,,,,,,,,100,56.6,29.6,2.9,6,4.4,0.5,187.3,100,51.4,41.8,6.8,6583,8707
北海道,恵庭市,恵庭市焼却施設,12210,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,2020,58347240,35100240,0,0,160,2.3,921,0,,,,,,,100,54.95,22.7,15.6,3.6,0.77,2.38,148,100,36.79,57.2,6.01,9853,12465
北海道,礼文町,礼文町衛生センターごみ焼却施設,915.22,ストーカ式（可動）,バッチ運転,DB（公設公営、直営）,1,2020,2333856,0,0,0,,,,,,,,,,,100,33.91,17.6,7.94,37.34,0.64,2.57,316.18,100,54.31,38.65,7.04,5912.7,0
北海道,標茶町,標茶町クリーンセンター,1883,ストーカ式（可動）,准連続運転,DBO（公設民営）,1,2018,952214,,517804,,,,,,,,,,,,100,50.2,33.2,5.1,10.2,0.8,0.5,118.3,100,41.7,52.3,6,8800,11509
北海道,根室北部廃棄物処理広域連合,根室北部広域ごみ処理施設,11405.98,流動床式,全連続運転,DB（公設公営、一部運転委託）,2,2006,3065664,,3065664,,,,,,,,,,,,100,53.6,20.8,15.5,4.3,1.2,4.6,150,100,42.3,49.6,8.1,8288,17975
北海道,名寄地区衛生施設事務組合,炭化センター,3910,回転式,准連続運転,DB（公設公営、直営）,1,2003,173467,,173467,,,,,,,,,,,,100,63.8,21.8,0.2,11.1,0.4,2.7,321.2,100,46.5,50.3,3.2,8306,9736
北海道,北しりべし廃棄物処理広域連合,北しりべし広域クリーンセンター,34810,ストーカ式（可動）,全連続運転,DB+M（公設公営、維持管理のみ委託）,2,2007,9280320,,1175572,,1990,14.5,11263,,3854,63725405,18.7,18.7,18.7,18.7,100,68.2,19.8,4,7.8,0,0.2,211,100,49.9,45.2,4.9,7263,8575
北海道,岩内地方衛生組合,岩内地方清掃センター,5718,ストーカ式（可動）,准連続運転,DB（公設公営、運転委託）,1,2018,6272000,0,5068980,0,,,,,,,,,,,100,43.5,26.7,3.5,15.6,1.7,9,162,100,48.1,48.1,3.8,7.858,9.87
北海道,南十勝複合事務組合,南十勝環境衛生センター,3305,ストーカ式（可動）,バッチ運転,DB（公設公営、直営）,2,1993,6700,,6700,,,,,,,,,,,,100,59.5,16,5.6,11.3,5.8,1.8,179,100,39,54.3,6.7,9225,0
北海道,十勝圏複合事務組合,くりりんセンター,74982,ストーカ式（可動）,全連続運転,DB+O（公設民営、長期包括運営委託）,3,1996,63107520,,11545800,,7000,21,31707,926,19073,246099584,,,,,100,45.7,18.3,18,6.5,5.4,6.1,212,100,40.6,50.8,8.6,8400,12250
北海道,南部桧山衛生処理組合,南部桧山清掃センター,4801,流動床式,准連続運転,DB（公設公営、運転委託）,2,1996,18,,18,,,,,,,,,,,,100,53.5,26.8,7.5,7.5,3.2,1.5,143,100,40.4,53.5,6.1,9060,11310
北海道,中・北空知廃棄物処理広域連合,中・北空知エネクリーン,22787,ストーカ式（可動）,全連続運転,DB+O（公設民営、長期包括運営委託）,2,2012,,,,,1770,13,11214,6736,,,,,,,100,51.5,32.1,10.5,4.2,1.1,0.6,81,100,22.5,72.4,5.1,13085,14900
北海道,南宗谷衛生施設組合,南宗谷廃棄物処理施設,4175,ストーカ式（可動）,准連続運転,DB（公設公営、直営）,2,2002,1000000,,1000000,,,,,,,,,,,,100,55.9,24.6,5.2,7.7,2.5,4.1,0,100,30.8,64.6,4.6,11024,0
北海道,日高中部衛生施設組合,日高中部環境センター,9033,シャフト式,全連続運転,DB（公設公営、運転委託）,2,2002,1687795,1687795,,,,,,,,,,,,,100,46.3,25.6,5.2,13.7,7.3,1.9,206.3,100,45.7,46.7,7.6,7645,0
北海道,遠軽地区広域組合,遠軽地区広域組合えんがるクリーンセンター,8368,ストーカ式（可動）,准連続運転,DB+O（公設民営、長期包括運営委託）,2,2017,1201200,,1133518,,,,,,,,,,,,100,63.3,1.1,10,4.7,1.3,19.6,105.5,100,28.3,65.7,6,11670,12023.3
北海道,愛別町外3町塵芥処理組合,愛別町外3町塵芥処理組合富沢衛生センター,7447,ストーカ式（可動）,准連続運転,DB（公設公営、一部運転委託）,2,1998,28748160,,,,,,,,,,,,,,100,41.9,31.8,13.5,12.2,0.2,0.4,121,100,40.5,52.9,6.6,8948,0
北海道,西いぶり広域連合,西胆振地域廃棄物広域処理施設,36451,回転式,全連続運転,DBO（公設民営）,2,2003,131326272,64548288,99124800,9474850,1980,8.5,12803,0,774,12907185,18.7,,,,100,48.1,27.7,8.7,11.1,4.1,0.3,106.3,100,40,53,7,8977,11637
北海道,南部後志衛生施設組合,南後志清掃センター,1874,ストーカ式（可動）,バッチ運転,その他公設公営,1,1994,1058400,,652932,,,,,,,,,,,,100,63.8,20,6.5,7,2.1,0.6,150,100,39.2,55.4,5.4,9460,11091
北海道,大雪清掃組合,しらかば清掃センター,7832,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,1993,9031680,,,,,,,,,,,,,,100,45.4,30.4,9.2,11,3.2,0.8,146,100,44.4,48.8,6.8,8072,13523
北海道,渡島廃棄物処理広域連合,クリーンおしま,29283,回転式,全連続運転,DBM（公設公営）,2,2003,36927900,,26263799,,1000,8.4,8320,,,,,,,,100,58.4,16,5.6,15.3,1.9,2.8,155,100,37.2,57.9,4.9,10683,11300
北海道,釧路広域連合,釧路広域連合清掃工場,64620,流動床式,全連続運転,DB+O（公設民営、長期包括運営委託）,2,2006,18002880,,2496552,,4600,16,25095,0,12895,225848103,18.7,,,,100,53.6,16.8,14.6,5.1,2.3,7.6,218,100,45.9,44.3,9.8,7330,7250
北海道,西紋別地区環境衛生施設組合,西紋別地区広域ごみ処理センター,7682,ストーカ式（可動）,准連続運転,その他公設公営,2,2013,1965,628,,,,,,,,,,,,,100,49.3,29.5,3,7.6,4.5,6.1,192.3,100,39.8,53.3,6.9,9887,9150
青森県,青森市,青森市清掃工場,86219,流動床式,全連続運転,DBO（公設民営）,2,2015,108864000,,,,7650,19,37646,835,22256,258530226,12,,,,100,49.1,22.4,3.7,16.4,2.3,6.1,171,100,52.1,42.6,5.3,6713,7978
青森県,三沢市,三沢市清掃センター,13456,ストーカ式（可動）,准連続運転,その他公設公営,2,1992,3754240,,3754240,,,,,,,,,,,,100,43.3,23.3,12,16.3,2,3.1,157,100,49.4,44,6.6,7050,0
青森県,外ヶ浜町,外ヶ浜町ごみ処理施設,1984.1,ストーカ式（可動）,准連続運転,DB+O（公設民営、長期包括運営委託）,1,2010,4302480,,2234191,,,,,,,,,,,,100,56,23.6,0.97,10.1,3.87,5.46,229.75,100,52.4,42.45,5.15,8170,7997.5
青森県,中部上北広域事業組合,中部上北清掃センター,10104,流動床式,全連続運転,DB（公設公営、運転委託）,2,2000,34419214,2871110,34419214,2871110,,,,,,,,,,,100,46.5,25.4,3.1,23.7,0.3,1,229,100,53.7,40.1,6.2,6190,7260
青森県,弘前地区環境整備事務組合,弘前地区環境整備センター,41892,ストーカ式（可動）,全連続運転,DB+O（公設民営、長期包括運営委託）,2,2002,35473234,,12813852,,3600,15,16517,0,6501,90505730,17,13,11,7,100,41.7,26.3,6,10.8,4.4,10.8,210.1,100,48.5,43.9,7.6,7077,8985
青森県,弘前地区環境整備事務組合,南部清掃工場,26108,ストーカ式（可動）,全連続運転,DB+O（公設民営、長期包括運営委託）,2,1992,22503936,7358400,,,,,,,,,,,,,100,44.6,25.4,3.4,14.7,1.6,10.3,238,100,53,42.1,4.9,6846,8099
青森県,黒石地区清掃施設組合,環境管理センターごみ処理施設,19385,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,2,1988,46299214,,32626477,,,,,,,,,,,,100,39.9,30.2,3.3,16.5,1,9.1,198,100,56.1,38.9,5,7950,7653
青森県,西北五環境整備事務組合,西部クリーンセンター,27464,ストーカ式（可動）,全連続運転,DB（公設公営、直営）,2,1986,8440320,,9356572,,,,,,,,,,,,100,61,17.5,11.3,8.8,0.9,0.5,236.5,100,49.7,44.6,5.7,7145,8320
青森県,三戸地区環境整備事務組合,三戸地区クリーンセンター,7684,ストーカ式（可動）,准連続運転,DB（公設公営、運転委託）,2,1994,34048,,34048,,,,,,,,,,,,100,36.92,27.24,4.09,20.38,0.3,11.07,173.8,100,50.8,45.6,3.6,7305,8645
青森県,西海岸衛生処理組合,エコクリーンアフイ,5500,ストーカ式（可動）,准連続運転,その他公設公営,1,2000,1882,,0,,,,,,,,,,,,100,45.5,20.7,5.9,16.5,0.6,10.8,250.5,100,53.7,40,6.3,6182,7552
青森県,八戸地域広域市町村圏事務組合,八戸清掃工場第一工場,46596,流動床式,全連続運転,DB（公設公営、一部運転委託）,2,1995,282562560,,36344476,,1446,19.5,8026,,,,,,,,100,56.6,30.4,4.6,6.5,1.7,0.2,137,100,40,52.6,7.4,8900,11270
青森県,八戸地域広域市町村圏事務組合,八戸清掃工場第二工場,21552,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,1,1980,0,,0,,,,,,,,,,,,100,48.7,30.5,15.6,4.4,0.4,0.4,143,100,42.2,53,4.8,8920,11720
青森県,下北地域広域行政事務組合,アックス・グリーン,25625,シャフト式,全連続運転,DBO（公設民営）,2,2002,177116544,,153280616,,,,,,,,,,,,100,49.8,26.1,6.5,14,2.1,1.5,149,100,41.34,52.17,6.49,8800,10250
青森県,十和田地域広域事務組合,十和田地域広域事務組合十和田ごみ焼却施設,32852,ストーカ式（可動）,全連続運転,DB+M（公設公営、維持管理のみ委託）,2,1985,246622,,371033,,,,,,,,,,,,100,41,20.2,1.4,27.8,1.1,8.5,166,100,53.8,40.1,6.1,6150,6573
青森県,北部上北広域事務組合,クリーン・ペア・はまなす,9047,流動床式,准連続運転,DB（公設公営、運転委託）,2,1998,15002824,,,,,,,,,,,,,,100,48.1,28,4.4,11.2,1.6,6.7,162.8,100,48.4,45.8,5.8,6290,0
岩手県,盛岡市,盛岡市クリーンセンター,65118,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,3,1998,292554662.4,277083021.6,59552640,44029440,1570,5.8,10528,0,2458,27035910,0,11,11,11,100,59.1,22.9,11.3,3.8,1.3,1.6,153.5,100,33.5,58.7,7.8,10225,10484
岩手県,八幡平市,八幡平市清掃センター,8369,ストーカ式（可動）,准連続運転,DB+O（公設民営、長期包括運営委託）,2,1998,1561728,,1030740,,,,,,,,,,,,100,51.3,25.9,3.4,11.5,4.7,3.2,191.6,100,55,37.2,7.8,6194,6392
岩手県,二戸地区広域行政事務組合,二戸地区クリーンセンター,13260,流動床式,全連続運転,DB（公設公営、運転委託）,2,1995,3373440,,21506,,,,,,,,,,,,100,47.64,43.76,2.63,4.71,0.7,0.56,0,100,42.6,52.9,4.5,8895,13108
岩手県,岩手・玉山環境組合,ごみ焼却施設,6191,ストーカ式（可動）,バッチ運転,DB（公設公営、運転委託）,2,1997,2670931,,,,,,,,,,,,,,100,43.5,34.1,9,11.5,0.9,1,143,100,40.3,54,5.7,9163,12393
岩手県,久慈広域連合,久慈地区ごみ焼却場,13891,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,1986,6536768,,6536768,,,,,,,,,,,,100,55.1,27.2,4.6,7.2,0.8,5.1,139.4,100,46.2,45.7,8.1,7438,0
岩手県,盛岡・紫波地区環境施設組合,ごみ焼却施設,30336,シャフト式,全連続運転,DB（公設公営、運転委託）,2,2003,311989440,0,311989440,,2080,10,12160,10003,2065,15207401,,11,9,4,100,46.5,37,5.8,4.5,5.4,0.8,125,100,34.2,57,8.8,9883,13385
岩手県,一関地区広域行政組合,一関清掃センターごみ焼却施設,21841,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,2,1981,4175077,,3927637,,,,,,,,,,,,100,51.5,24.57,4.82,9.93,1.26,7.92,204,100,47.53,46.48,5.99,7563,9180
岩手県,一関地区広域行政組合,大東清掃センターごみ焼却施設,9888,流動床式,全連続運転,DB（公設公営、一部運転委託）,2,1999,6871820,,3250552,,,,,,,,,,,,100,51.99,24.95,5.27,8.41,0.88,8.5,184,100,47.97,45.87,6.16,7438,8998
岩手県,宮古地区広域行政組合,宮古清掃センター,27794,流動床式,全連続運転,DB（公設公営、運転委託）,2,1994,14112000,,9122400,,,,,,,,,,,,100,52.4,26.9,7.5,11.7,0.9,0.6,140,100,47,47.7,5.3,7820,9767
岩手県,奥州金ケ崎行政事務組合,胆江地区衛生センター,35144,ストーカ式（可動）,全連続運転,その他公設公営,2,1994,34433280,15523200,23806440,12337920,1990,6.67,8020,2913,,,,,,,100,44,38.4,8.8,7.2,1,0.6,123.6,100,43.4,51.4,5.2,8595,11681
岩手県,岩手中部広域行政組合,岩手中部クリーンセンター,54696,ストーカ式（可動）,全連続運転,DBO（公設民営）,2,2015,,,,,4100,17.8,29233,0,,,,,,,100,52,30.3,5.1,5.3,2.4,4.9,143.7,100,44.4,50.4,5.2,8373,10734
岩手県,岩手沿岸南部広域環境組合,岩手沿岸南部クリーンセンター,27125,シャフト式,全連続運転,DBO（公設民営）,2,2011,471027,,302702,,2500,14.5,11974,7949,4025,54596616,17,12.9,9.9,9.338,100,40.3,22.9,18.4,9.8,5.7,2.9,155.7,100,32.9,57.9,9.2,10092,10458
岩手県,滝沢・雫石環境組合,滝沢清掃センター,23513,シャフト式,全連続運転,DB（公設公営、運転委託）,2,2002,,,,,1200,12,6576,646,80,509585,,11,9,4,100,43.6,40.3,5.2,6.8,3.7,0.4,125,100,39.2,53.4,7.4,9075,12668
宮城県,仙台市,葛岡工場,122843.37,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,1995,313173504,86421888,214879929,5968545,11800,19,56192,5747,38013,542990412,,,14.57,11.84,100,44.3,17.1,5,31.3,0.8,1.5,89,100,44.73,48.17,7.1,7900,9600
宮城県,仙台市,今泉工場,93645,ストーカ式（可動）,全連続運転,DB（公設公営、直営）,3,1985,107349984,9737280,74885105.7,10817162.3,3500,7.7,20471,569,9736,129691007,,,12.11,12.11,100,51,24.3,2.4,16.7,3.1,2.5,110,100,45.45,48.8,5.75,8600,9900
宮城県,仙台市,松森工場,104054,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,3,2005,76608000,67200000,35657000,13198000,17500,13,45979,1742,21992,372004750,18.7,17.64,14.61,12.2,100,53.5,26.6,3.7,11.3,2.1,2.8,100,100,42.19,51.42,6.39,10350,9706
宮城県,気仙沼市,気仙沼市ごみ焼却場,17088,ストーカ式（可動）,全連続運転,DB（公設公営、直営）,2,1995,22579200,19756800,,,,,,,,,,,,,100,56.2,25.7,1.4,12.1,2.1,2.5,0,100,41.2,50.6,8.2,8518,9695
宮城県,登米市,登米市環境事業所クリーンセンター（新）,20006,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,2019,20110,,,,700,10.4,5011,,810,15140562,18.7,,,,100,58.67,25.33,8.56,5.74,0.42,1.28,124,100,43.21,51.91,4.88,8693,10960
宮城県,黒川地域行政事務組合,環境管理センター,14009,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,2018,8504300,,,,,,,,,,,,,,100,38.5,30.2,9.3,15.8,1.6,4.6,150,100,44.1,50.9,5,8485,9079
宮城県,亘理名取共立衛生処理組合,岩沼東部環境センター,45027,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,2016,,,,,1990,13.69,14395,0,8436,120030564,19,8,8,8,100,54.6,22.5,8.3,11.6,0.5,2.5,142,100,42.5,52.7,4.8,8960,9900
宮城県,宮城東部衛生処理組合,宮城東部衛生処理センターごみ焼却施設,39626,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,2,1994,6746880,,6746880,,,,,,,,,,,,100,42.5,25.3,10.2,15.6,1,5.4,137.4,100,44.7,50.4,4.9,8378,8733
宮城県,石巻地区広域行政事務組合,石巻広域クリーンセンター,56864,流動床式,全連続運転,DB（公設公営、運転委託）,2,2002,156945600,,141626283,,2700,12,16553,,4818,65982686,17,7.6,7.6,7.6,100,44.1,24.5,8.6,15.7,1.7,5.4,144.5,100,44.3,50.4,5.3,8385,8658
宮城県,仙南地域広域行政事務組合,仙南地域広域行政事務組合仙南クリーンセンター,46645,流動床式,全連続運転,DBO（公設民営）,2,2017,,,,,3200,14.93,22815,0,11185,166070603,18,,,,100,55,19,11,8,3,4,165,100,37,53,10,0,10024
宮城県,大崎地域広域行政事務組合,大崎広域東部クリーンセンター,20507.9,ストーカ式（可動）,准連続運転,DB（公設公営、直営）,2,1991,1510194,,0,,,,,,,,,,,,100,47.6,32.4,9.8,7.6,1.8,0.8,94,100,44.6,48.4,7,8153,10343
宮城県,大崎地域広域行政事務組合,大崎広域西部玉造クリーンセンター,0,ストーカ式（可動）,バッチ運転,DB（公設公営、直営）,2,1989,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
宮城県,大崎地域広域行政事務組合,大崎広域中央クリーンセンター,40579.98,流動床式,全連続運転,DBO（公設民営）,2,2022,3920400,,1866240,,2920,21.5,21873,2639,,,,,,,100,52.4,26.7,12.2,5.8,2.3,0.6,113.5,100,41.1,52.4,6.5,8830,10916
秋田県,秋田市,秋田市総合環境センター溶融施設,93811.79,シャフト式,全連続運転,DB（公設公営、運転委託）,2,2002,0,0,0,0,8500,20.1,46371.9,0,19650.8,298175962,18.7,13.695,13.695,13.695,100,43.12,21.04,5.45,6.1,16.07,8.22,177,100,45.47,37.3,17.23,0,7100
秋田県,横手市,クリーンプラザよこて,23820,ストーカ式（可動）,全連続運転,DBO（公設民営）,2,2015,14000256,,,,1670,19.6,10152,0,6274,,,,,,100,51.8,26.9,10.1,5.4,1.2,4.6,208.6,100,46.8,47.6,5.6,7783,9379
秋田県,大館市,大館クリーンセンター,20837,ストーカ式（可動）,全連続運転,PFI-BOO（民設民営）,2,2005,4536,,1595,,340,,1976,,,,,,,,100,55.4,23,7.4,12.4,0.7,1.1,219,100,53,42,5,6578,7743
秋田県,由利本荘市,本荘清掃センター焼却施設,21799,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,2,1994,4190,,,,,,,,,,,,,,100,49.9,24,9.3,13,1.1,2.7,193,100,47.3,46.9,5.8,1827,0
秋田県,北秋田市,北秋田市クリーンリサイクルセンター,10718,流動床式,准連続運転,DB+O（公設民営、長期包括運営委託）,2,2018,5105000,,5105000,,,,,,,,,,,,100,69,13.58,8.3,4.93,2.18,2.01,245,100,41.52,53.45,5.03,9030,8460
秋田県,にかほ市,にかほ市環境プラザ,7226,ストーカ式（可動）,准連続運転,DB（公設公営、運転委託）,2,2016,6180790,,5796484,,,,,,,,,,,,100,48.1,25.5,13.7,11.3,0.5,0.9,222,100,53.4,41.7,4.9,6510,7925
秋田県,湯沢雄勝広域市町村圏組合,湯沢雄勝クリーンセンター,18868,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,2,2017,17305200,8119080,14664960,6877866,,,,,,,,,,,100,59.45,23.32,8.22,5.64,0.27,3.1,208.25,100,46.2,49.34,4.46,8132.859,9242.361
秋田県,大曲仙北広域市町村圏組合,大曲仙北広域中央ごみ処理センター,34323,ストーカ式（可動）,全連続運転,DB+O（公設民営、長期包括運営委託）,2,2002,222880000,,258504674.4,,,,,,,,,,,,100,40.3,21.8,17.5,16,2,2.4,0,100,49.3,43.4,7.3,6928,0
秋田県,大曲仙北広域市町村圏組合,大曲仙北広域北部ごみ処理センター,7730,流動床式,准連続運転,DB（公設公営、運転委託）,2,1998,7499520,,,,,,,,,,,,,,100,65.2,15.1,15.6,2.8,0.2,1.1,205,100,33.3,60.7,6,10600,11000
秋田県,鹿角広域行政組合,鹿角ごみ処理場　焼却場,11870,流動床式,全連続運転,DB（公設公営、運転委託）,2,2002,98108420,,981084220,,,,,,,,,,,,100,53.2,25.2,13,3.8,0.3,4.5,188,100,47.5,47.8,4.7,8676,8676
秋田県,八郎湖周辺清掃事務組合,八郎湖周辺クリーンセンター熱回収施設,12726,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,2,2008,6209280,,5377930,,,,,,,,,,,,100,49.4,26,2.4,19,2.7,0.5,210,100,56.5,38.5,5,5835,9393
山形県,鶴岡市,鶴岡市ごみ焼却施設,38542,ストーカ式（可動）,全連続運転,DBO（公設民営）,2,2020,,,,,3020,18.55,20255,,13096,215750385,18.7,,,,100,55.7,20.2,9.9,6.96,2.51,4.73,145.9,100,46.8,44.8,8.4,8455,7250
山形県,東根市外二市一町共立衛生処理組合,東根市外二市一町共立衛生処理組合ごみ焼却処理施設,40069,ストーカ式（可動）,全連続運転,DB（公設公営、直営）,3,1994,1683,,1683,,,,,,,,,,,,100,54.9,23.3,2,17.5,0.5,1.8,178,100,55.5,39.6,4.9,6065,7415
山形県,山形広域環境事務組合,エネルギー回収施設(立谷川),42739,流動床式,全連続運転,DBO（公設民営）,2,2017,2410320,0,2410320,0,3100,14,16977,0,6960,102209144,18.7,,,,100,47.7,17.8,22.7,7.6,1.7,2.5,137,100,48.4,45.3,6.3,7470,8522
山形県,山形広域環境事務組合,エネルギー回収施設（川口）,38254,流動床式,全連続運転,DBO（公設民営）,2,2018,22217040,0,23938050,0,3220,19.1,17908,0,10906,145622050,19,,,,100,44.2,27.2,8.5,11.9,3.5,4.7,185,100,46.7,45.8,7.5,7475,9925
山形県,最上広域市町村圏事務組合,最上広域市町村圏事務組合エコプラザもがみ,18459,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,2,2002,7747488,,6250734,,,,,,,,,,,,100,59.1,16.1,4.9,8.9,2.8,8.2,0,100,46.2,46,7.8,8759,2093
